X,Y,address,parcel_id,demolition_date,council_district,neighborhood,emergency_demo,street_number,street_direction,street_name,street_type,block_range,property_longitude,property_latitude,ObjectId
-83.216158,42.376868,12203 Archdale,22072005,2014,7,Plymouth-I96,Yes,12203,,ARCHDALE,St,12200-12262 Archdale St,-83.216158,42.376868,4145
-83.215411,42.374884,12028 Archdale,22071073,2014,7,Plymouth-I96,Yes,12028,,ARCHDALE,St,12000-12199 Archdale St,-83.215411,42.374884,4750
-82.99293,42.383268,4832 Garland,21037900,2014,4,West End,No,4832,,GARLAND,St,4700-4999 Garland St,-82.99293,42.383268,1598
-83.279579,42.432977,19391 Woodbine,22122900.003L,2014,1,Five Points,Yes,19391,,WOODBINE,St,19100-19599 Woodbine St,-83.279579,42.432977,4032
-83.117318,42.30777,1427 Green,18009063-4,2014,6,Central Southwest,Yes,1427,,GREEN,St,1400-1499 N Green St,-83.117318,42.30777,4077
-83.26708,42.400982,15333 West Parkway,22119453,2014,1,Brightmoor,No,15333,,WEST PARKWAY,Ave,566-699 West Ave,-83.26708,42.400982,15418
-83.193937,42.383157,12859 Coyle,22045601,2014,1,Schoolcraft Southfield,No,12859,,COYLE,St,12800-13199 Coyle St,-83.193937,42.383157,18419
-83.156063,42.37291,11434 Indiana,18015524,2014,7,Barton-McFarland,No,11434,,INDIANA,St,8950-11599 Indiana St,-83.156063,42.37291,23491
-83.248831,42.396448,14858 Blackstone,22109096,2014,1,Brightmoor,No,14858,,BLACKSTONE,St,14800-14981 Blackstone St,-83.248831,42.396448,3118
-83.246321,42.401562,15345 Pierson,22106952,2014,1,Brightmoor,No,15345,,PIERSON,St,15300-15399 Pierson St,-83.246321,42.401562,16476
-82.954325,42.410136,9741 Berkshire,21069285,2014,4,Outer Drive-Hayes,Yes,9741,,BERKSHIRE,St,9700-9799 Berkshire St,-82.954325,42.410136,16717
-83.150092,42.410533,16149 Woodingham,16028886,2014,2,Fitzgerald/Marygrove,No,16149,,WOODINGHAM,Dr,16100-17099 Woodingham Dr,-83.150092,42.410533,1453
-83.132893,42.409438,15911 Wildemere,12005901,2014,2,Pilgrim Village,No,15911,,WILDEMERE,St,15700-16099 Wildemere St,-83.132893,42.409438,4295
-83.118696,42.405162,15440 Wabash,8008980,2014,2,Pilgrim Village,No,15440,,WABASH,St,15300-15499 Wabash St,-83.118696,42.405162,4970
-83.258399,42.399051,15103 Rockdale,22114399,2014,1,Brightmoor,No,15103,,ROCKDALE,St,15000-15299 Rockdale St,-83.258399,42.399051,21771
-83.000274,42.352813,1063 Baldwin,17011755,2014,5,Islandview,Yes,1063,,BALDWIN,St,1000-1399 Baldwin St,-83.000274,42.352813,618
-83.126081,42.3693,9343 N Martindale,14007794,2014,7,Nardin Park,Yes,9343,N,MARTINDALE,St,9296-9599 N Martindale St,-83.126081,42.3693,23804
-82.940399,42.393389,3985 Berkshire,21069394,2014,4,Morningside,No,3985,,BERKSHIRE,St,3900-4099 Berkshire St,-82.940399,42.393389,4058
-82.99511,42.420106,12610 Strasburg,21034124,2014,4,LaSalle College Park,No,12610,,STRASBURG,St,12600-17099 Strasburg St,-82.99511,42.420106,12482
-82.987019,42.42529,12836 Alcoy,21015589,2014,4,Gratiot-Findlay,No,12836,,ALCOY,St,12700-17099 Alcoy St,-82.987019,42.42529,19321
-82.99288,42.383195,4828 Garland,21037899,2014,4,West End,No,4828,,GARLAND,St,4700-4999 Garland St,-82.99288,42.383195,1553
-83.005942,42.35198,7027 Agnes St,15008097.004L,2014,5,Islandview,No,7027,,AGNES ST,St,7000-7199 Agnes St,-83.005942,42.35198,12858
-82.954861,42.372351,1230 Gray,21048448,2014,4,Riverbend,Yes,1230,,GRAY,St,1100-1499 Gray St,-82.954861,42.372351,15288
-83.164731,42.401847,15118 Mendota,16042877,2014,2,Bethune Community,No,15118,,MENDOTA,St,15000-15299 Mendota St,-83.164731,42.401847,8145
-83.15374,42.369715,9920 Ohio,18015068,2014,7,Barton-McFarland,Yes,9920,,OHIO,St,9901-10299 Ohio St,-83.15374,42.369715,11444
-83.160697,42.382821,12748 Ilene,16040034,2014,7,Grand River-I96,Yes,12748,,ILENE,St,12600-13099 Ilene St,-83.160697,42.382821,11568
-83.134518,42.369206,9786 Chenlot,16005283,2014,7,Nardin Park,Yes,9786,,CHENLOT,St,9700-9941 Chenlot St,-83.134518,42.369206,12534
-83.120482,42.412098,1994 Louise,8005397,2014,2,Martin Park,Yes,1994,,LOUISE,St,1802-2047 Louise St,-83.120482,42.412098,17689
-83.004894,42.378677,4845 Crane,19010141,2014,5,Gratiot Woods,No,4845,,CRANE,St,4700-4999 Crane St,-83.004894,42.378677,1746
-82.97247,42.412559,14211 Wilshire,21008660,2014,4,Outer Drive-Hayes,No,14211,,WILSHIRE,Dr,14200-14399 Wilshire Dr,-82.97247,42.412559,8428
-82.993155,42.380557,4535 Bewick,21037482-3,2014,4,West End,Yes,4535,,BEWICK,St,4400-4999 Bewick St,-82.993155,42.380557,14180
-82.977331,42.410872,13053 Wilshire,21008628,2014,4,Outer Drive-Hayes,No,13053,,WILSHIRE,Dr,13000-13299 Wilshire Dr,-82.977331,42.410872,22009
-82.99053,42.380661,4467 St Clair,21038946,2014,4,West End,Yes,4467,,ST CLAIR,St,4400-4699 Saint Clair St,-82.99053,42.380661,1185
-82.990581,42.380734,4473 St Clair,21038945,2014,4,West End,Yes,4473,,ST CLAIR,St,4400-4699 Saint Clair St,-82.990581,42.380734,14142
-83.223463,42.43691,18401 PEMBROKE,22017829,2014,1,O'Hair Park,No,18401,,PEMBROKE,Ave,18400-18483 Pembroke Ave,-83.223463,42.43691,3698
-83.157134,42.381711,12661 Indiana,16036254,2014,7,Littlefield Community,Yes,12661,,INDIANA,St,12600-13099 Indiana St,-83.157134,42.381711,10682
-83.112679,42.365358,3300 W Philadelphia,12002010,2014,5,Jamison,Yes,3300,W,PHILADELPHIA,St,3200-3699 W Philadelphia St,-83.112679,42.365358,23330
-82.940241,42.359555,209 Eastlawn,21053560,2014,4,Jefferson Chalmers,Yes,209,,EASTLAWN,St,200-299 Eastlawn St,-82.940241,42.359555,2465
-83.143514,42.321897,3912 Cabot_RETIRED,20007745,2014,6,Claytown,No,3912,,CABOT,St,3800-4099 Cabot St,-83.143514,42.321897,25484
-83.217142,42.436486,19770 Archdale,22071491,2014,2,Greenfield,Yes,19770,,ARCHDALE,St,19700-19899 Archdale St,-83.217142,42.436486,8768
-83.160217,42.367092,10100 Morley,18005818,2014,7,Barton-McFarland,Yes,10100,,MORLEY,,10000-10299 Morley,-83.160217,42.367092,25162
-83.116683,42.292172,8316 Burdeno,20000585,2014,6,Delray,Yes,8316,,BURDENO,St,8300-8429 Burdeno St,-83.116683,42.292172,25236
-83.230685,42.392328,14376 Grandville,22088356,2014,1,Westwood Park,No,14376,,GRANDVILLE,Ave,14300-14499 Grandville Ave,-83.230685,42.392328,926
-83.187684,42.385484,13297 Strathmoor,22038491,2014,1,Schoolcraft Southfield,Yes,13297,,STRATHMOOR,St,13200-13899 Strathmoor St,-83.187684,42.385484,2275
-83.119828,42.414418,1950 BRIGHTON,8005518,2014,2,Martin Park,Yes,1950,,BRIGHTON,St,200-2045 Brighton St,-83.119828,42.414418,16552
-83.131849,42.407885,15799 Parkside,12011542,2014,2,Pilgrim Village,Yes,15799,,PARKSIDE,St,15700-16099 Parkside St,-83.131849,42.407885,17526
-83.139306,42.373316,11547 Livernois,16018170,2014,7,Oakman Blvd Community,No,11547,,LIVERNOIS,Ave,11500-11599 Livernois Ave,-83.139306,42.373316,11
-83.128715,42.301189,8774 Chamberlain,20002438,2014,6,Springwells,No,8774,,CHAMBERLAIN,St,8700-9099 Chamberlain St,-83.128715,42.301189,12165
-83.037326,42.429718,18468 Filer,15012773,2014,3,Grant,Yes,18468,,FILER,St,18400-18599 Filer St,-83.037326,42.429718,9817
-83.110512,42.434071,19227 Havana,1009521,2014,2,Penrose,Yes,19227,,HAVANA,St,19100-19299 Havana St,-83.110512,42.434071,12412
-82.950594,42.391106,4181 Alter,21063069,2014,4,Fox Creek,Yes,4181,,ALTER,Rd,4105-4299 Alter Rd,-82.950594,42.391106,712
-83.191571,42.351545,8035 Robson,22044585,2014,7,Fiskhorn,Yes,8035,,ROBSON,St,8000-8199 Robson St,-83.191571,42.351545,11180
-83.110565,42.435603,19397 Havana,1009504,2014,2,Penrose,Yes,19397,,HAVANA,St,19300-19499 Havana St,-83.110565,42.435603,12805
-82.939699,42.368316,554 Marlborough,21059124,2014,4,Jefferson Chalmers,Yes,554,,MARLBOROUGH,St,500-699 Marlborough St,-82.939699,42.368316,15297
-83.110562,42.435521,19391 Havana,1009505,2014,2,Penrose,No,19391,,HAVANA,St,19300-19499 Havana St,-83.110562,42.435521,24305
-83.110523,42.434369,19309 Havana,1009519,2014,2,Penrose,Yes,19309,,HAVANA,St,19300-19499 Havana St,-83.110523,42.434369,24332
-83.110528,42.434533,19321 Havana,1009517,2014,2,Penrose,Yes,19321,,HAVANA,St,19300-19499 Havana St,-83.110528,42.434533,25480
-83.056279,42.420802,17239 Hasse,13018209-14,2014,3,Davison,Yes,17239,,HASSE,St,17100-17299 Hasse St,-83.056279,42.420802,7307
-83.054166,42.419606,17149 Lamont,13017584,2014,3,Davison,Yes,17149,,LAMONT,St,17100-17299 Lamont St,-83.054166,42.419606,7648
-83.05417,42.419853,17167 Lamont,13017581,2014,3,Davison,Yes,17167,,LAMONT,St,17100-17299 Lamont St,-83.05417,42.419853,7673
-83.0536,42.420689,17226 Lamont,13017335,2014,3,Davison,Yes,17226,,LAMONT,St,17100-17299 Lamont St,-83.0536,42.420689,7750
-83.071016,42.434726,19220 Charest,13023483,2014,3,Pershing,Yes,19220,,CHAREST,St,19100-19299 Charest St,-83.071016,42.434726,6898
-83.248459,42.399658,15121 Trinity,22108826,2014,1,Brightmoor,Yes,15121,,TRINITY,St,15000-15299 Trinity St,-83.248459,42.399658,3221
-83.010937,42.435741,19196 Langholm,17015823,2014,3,Pulaski,Yes,19196,,LANGHOLM,St,19100-19231 Langholm St,-83.010937,42.435741,6846
-83.011548,42.436127,19225 Langholm,17015828,2014,3,Pulaski,Yes,19225,,LANGHOLM,St,19100-19231 Langholm St,-83.011548,42.436127,6906
-83.22786,42.438502,19960 Stahelin,22083361,2014,1,O'Hair Park,Yes,19960,,STAHELIN,Ave,19900-20075 Stahelin Ave,-83.22786,42.438502,7005
-83.052388,42.429071,18479 Conley,13016795,2014,3,Krainz Woods,Yes,18479,,CONLEY,St,18400-18599 Conley St,-83.052388,42.429071,19463
-83.143043,42.345786,7259 Prairie,18013562,2014,6,Midwest,Yes,7259,,PRAIRIE,St,7200-7399 Prairie St,-83.143043,42.345786,19686
-82.956413,42.378611,2544 Lenox,21049664,2014,4,Riverbend,Yes,2544,,LENOX,St,2500-2899 Lenox St,-82.956413,42.378611,2206
-82.991426,42.38194,4713 St Clair,21038932,2014,4,West End,Yes,4713,,ST CLAIR,St,4700-4999 Saint Clair St,-82.991426,42.38194,14362
-83.208871,42.375962,12095 Woodmont,22062939,2014,7,Plymouth-I96,Yes,12095,,WOODMONT,Ave,12000-12199 Woodmont Ave,-83.208871,42.375962,4376
-83.106466,42.319634,5831 Toledo,16000991,2014,6,Central Southwest,No,5831,,TOLEDO,St,5800-5899 Toledo St,-83.106466,42.319634,4802
-83.164522,42.361209,9103 Mendota,18017356,2014,7,Barton-McFarland,No,9103,,MENDOTA,St,9100-9299 Mendota St,-83.164522,42.361209,9436
-83.093245,42.443012,20145 Hawthorne,9021727,2014,3,Nolan,Yes,20145,,HAWTHORNE,St,20100-20399 Hawthorne St,-83.093245,42.443012,12507
-83.124773,42.311351,7759 Whittaker,20004083,2014,6,Springwells,Yes,7759,,WHITTAKER,St,7700-7999 Whittaker St,-83.124773,42.311351,15630
-83.208228,42.376593,12136 Woodmont,22062620,2014,7,Plymouth-I96,Yes,12136,,WOODMONT,Ave,12000-12199 Woodmont Ave,-83.208228,42.376593,17453
-83.106345,42.319683,5819 Toledo,16000990,2014,6,Central Southwest,No,5819,,TOLEDO,St,5800-5899 Toledo St,-83.106345,42.319683,17902
-83.139664,42.343649,6955 Sarena,18003848,2014,6,Claytown,No,6955,,SARENA,St,6922-6999 Sarena St,-83.139664,42.343649,20118
-83.07231,42.424813,17899 Mitchell,9011029,2014,3,Cadillac Heights,Yes,17899,,MITCHELL,St,17800-17999 Mitchell St,-83.07231,42.424813,21625
-83.23071,42.393096,14432 Grandville,22088363,2014,1,Westwood Park,No,14432,,GRANDVILLE,Ave,14300-14499 Grandville Ave,-83.23071,42.393096,1556
-83.230626,42.390486,14216 Grandville,22088341,2014,1,Westwood Park,No,14216,,GRANDVILLE,Ave,14100-14299 Grandville Ave,-83.230626,42.390486,1582
-83.150297,42.336863,8346 Kirkwood,20009559,2014,6,Claytown,Yes,8346,,KIRKWOOD,St,8300-8399 Kirkwood St,-83.150297,42.336863,5649
-83.230618,42.390267,14200 Grandville,22088339,2014,1,Westwood Park,No,14200,,GRANDVILLE,Ave,14100-14299 Grandville Ave,-83.230618,42.390267,13339
-83.151782,42.332338,5675 Cabot,20007906,2014,6,Claytown,Yes,5675,,CABOT,St,5600-5899 Cabot St,-83.151782,42.332338,18585
-83.152201,42.332918,5723 Cabot,20007898,2014,6,Claytown,Yes,5723,,CABOT,St,5600-5899 Cabot St,-83.152201,42.332918,20146
-82.978923,42.369994,2516 Montclair,21040600,2014,4,East Village,Yes,2516,,MONTCLAIR,St,2500-2899 Montclair St,-82.978923,42.369994,1705
-83.142562,42.360458,8880 Prairie,16022491,2014,6,Midwest,Yes,8880,,PRAIRIE,St,8800-8999 Prairie St,-83.142562,42.360458,9635
-83.122335,42.408533,15844 INVERNESS,8009753,2014,2,Pilgrim Village,Yes,15844,,INVERNESS,St,15800-16099 Inverness St,-83.122335,42.408533,16207
-83.085205,42.375225,847 W Philadelphia,4002020.001,2014,5,Piety Hill,No,847,W,PHILADELPHIA,St,800-1099 W Philadelphia St,-83.085205,42.375225,1970
-82.937009,42.396532,4180 Bedford,21070752,2014,4,Morningside,No,4180,,BEDFORD,St,4100-4299 Bedford St,-82.937009,42.396532,16821
-83.146616,42.338321,8016 Kirkwood,20009583,2014,6,Claytown,Yes,8016,,KIRKWOOD,St,8000-8099 Kirkwood St,-83.146616,42.338321,18578
-83.145314,42.36818,9616 Bryden,16024607,2014,6,Midwest,Yes,9616,,BRYDEN,St,9500-10399 Bryden St,-83.145314,42.36818,23550
-82.999264,42.352273,1000 Baldwin,17011063,2014,5,Islandview,No,1000,,BALDWIN,St,1000-1399 Baldwin St,-82.999264,42.352273,645
-83.111037,42.312111,1589 Casgrain,18007984,2014,6,Central Southwest,No,1589,,CASGRAIN,St,1500-1699 Casgrain St,-83.111037,42.312111,4014
